iso3,langKey,langEn,langTh,program,titleEn,titleTh,playUrl,downloadZipUrl,downloadTrack001Url,shareProgUrl
AEU,,Akeu,อาเคอะ,62808,Good News,ข่าวประเสริฐ,fivefish.org/T62808,https://files.globalrecordings.net/files/set/mp3-low/62808.zip,fivefish.org/T62808-001.mp3,5fi.sh/T62808
AHK,,Akha,อาข่า,6760,Words of Life 1,พระคำแห่งชีวิต 1,fivefish.org/T6760,https://files.globalrecordings.net/files/set/mp3-low/6760.zip,fivefish.org/T6760-001.mp3,5fi.sh/T6760
AHK,,Akha,อาข่า,6761,Words of Life 2,พระคำแห่งชีวิต 2,fivefish.org/T6761,https://files.globalrecordings.net/files/set/mp3-low/6761.zip,fivefish.org/T6761-001.mp3,5fi.sh/T6761
AHK,,Akha Thailand,อาข่า ประเทศไทย,74874,Good News,ข่าวประเสริฐ,fivefish.org/T74874,https://files.globalrecordings.net/files/set/mp3-low/74874.zip,fivefish.org/T74874-001.mp3,5fi.sh/T74874
AHK,,Akha Thailand,อาข่า ประเทศไทย,6850,Words of Life,พระคำแห่งชีวิต,fivefish.org/T6850,https://files.globalrecordings.net/files/set/mp3-low/6850.zip,fivefish.org/T6850-001.mp3,5fi.sh/T6850
CTG,,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,62691,LLL 1 Beginning with GOD,LLL 1 เริ่มต้นกับพระเจ้า,fivefish.org/T62691,https://files.globalrecordings.net/files/set/mp3-low/62691.zip,fivefish.org/T62691-001.mp3,5fi.sh/T62691
CTG,,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,75171,LLL 2 Mighty Men of GOD,LLL 2 ผู้ได้รับอำนาจจากพระเจ้า,fivefish.org/T75171,https://files.globalrecordings.net/files/set/mp3-low/75171.zip,fivefish.org/T75171-001.mp3,5fi.sh/T75171
CTG,,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,62692,LLL 3 Victory through GOD,LLL 3 ชัยชนะโดยพระเจ้า,fivefish.org/T62692,https://files.globalrecordings.net/files/set/mp3-low/62692.zip,fivefish.org/T62692-001.mp3,5fi.sh/T62692
CTG,,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,62695,LLL 4 Servants of GOD,LLL 4 ผู้รับใช้ของพระเจ้า,fivefish.org/T62695,https://files.globalrecordings.net/files/set/mp3-low/62695.zip,fivefish.org/T62695-001.mp3,5fi.sh/T62695
CTG,,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,62710,LLL 5 On Trial for GOD,LLL 5 การทดสอบเพื่อพระเจ้า,fivefish.org/T62710,https://files.globalrecordings.net/files/set/mp3-low/62710.zip,fivefish.org/T62710-001.mp3,5fi.sh/T62710
CTG,,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,62834,LLL 6 JESUS - Teacher & Healer,LLL 6 พระเยซูเป็นผู้สอนและผู้รักษา,fivefish.org/T62834,https://files.globalrecordings.net/files/set/mp3-low/62834.zip,fivefish.org/T62834-001.mp3,5fi.sh/T62834
CTG,,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,75170,LLL 8 Acts of the HOLY SPIRIT,LLL 8 การงานของพระวิญญาณบริสุทธิ์,fivefish.org/T75170,https://files.globalrecordings.net/files/set/mp3-low/75170.zip,fivefish.org/T75170-001.mp3,5fi.sh/T75170
CTG,,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,2760,Words of Life,พระคำแห่งชีวิต,fivefish.org/T2760,https://files.globalrecordings.net/files/set/mp3-low/2760.zip,fivefish.org/T2760-001.mp3,5fi.sh/T2760
BZI,,Bisu,บีซู,33761,Bible Stories (Easy Reader),เรื่องราวในพระคัมภีร์,fivefish.org/T33761,https://files.globalrecordings.net/files/set/mp3-low/33761.zip,fivefish.org/T33761-001.mp3,5fi.sh/T33761
BLR,,Blang-Shan,บลางชาน,29841,Good News,ข่าวประเสริฐ,fivefish.org/T29841,https://files.globalrecordings.net/files/set/mp3-low/29841.zip,fivefish.org/T29841-001.mp3,5fi.sh/T29841
BLR,,Blang-Shan,บลางชาน,63352,Good News,ข่าวประเสริฐ,fivefish.org/T63352,https://files.globalrecordings.net/files/set/mp3-low/63352.zip,fivefish.org/T63352-001.mp3,5fi.sh/T63352
BLR,,Blang-Shan,บลางชาน,29770,Words of Life 1,พระคำแห่งชีวิต 1,fivefish.org/T29770,https://files.globalrecordings.net/files/set/mp3-low/29770.zip,fivefish.org/T29770-001.mp3,5fi.sh/T29770
BLR,,Blang-Shan,บลางชาน,29771,Words of Life 2,พระคำแห่งชีวิต 2,fivefish.org/T29771,https://files.globalrecordings.net/files/set/mp3-low/29771.zip,fivefish.org/T29771-001.mp3,5fi.sh/T29771
