id,iso3,id,langEn,langTh,titleEn,titleTh,verseEn,verseTh,playUrl,downloadTrack001Url,downloadZipUrl,shareProgUrl,Bible Abbr,Bible Reference,Book,Chapter,Verse,Verse Text,id,,Verse Text,Bible Reference1,Book1,Chapter1,Verse1,Verse Text1,,Verse Text1,,,EN Program Order
62808,AEU,1148,Akeu,อาเคอะ,Good News,ข่าวประเสริฐ,Genesis 1:1 In the beginning God created the heavens and the earth.,ปฐมกาล 1:1 ใน​ปฐมกาล​นั้น เมื่อ​พระเจ้า​สร้าง​แผ่นดิน​และ​ท้องฟ้า,fivefish.org/T62808,fivefish.org/T62808-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62808.zip,5fi.sh/T62808,GEN,Genesis 1:1,Genesis,1,1,In the beginning God created the heavens and the earth.,62808,,Genesis 1:1 In the beginning God created the heavens and the earth.,ปฐมกาล 1:1,ปฐมกาล,1,1,ใน​ปฐมกาล​นั้น เมื่อ​พระเจ้า​สร้าง​แผ่นดิน​และ​ท้องฟ้า,,ปฐมกาล 1:1 ใน​ปฐมกาล​นั้น เมื่อ​พระเจ้า​สร้าง​แผ่นดิน​และ​ท้องฟ้า,,Akeu,1
6760,AHK,529,Akha,อาข่า,Words of Life 1,พระคำแห่งชีวิต 1,"Exodus 23:25 ""Worship the LORD your God, and His blessing will be on your food and water. I will take away sickness from among you.""",อพยพ 23:25 ถ้า​พวกเจ้า​รับใช้​พระยาห์เวห์​พระเจ้า​ของเจ้า พระองค์​จะ​อวยพร​อาหาร​และ​น้ำ​ของเจ้า และ​เรา​จะ​เอา​เชื้อโรค​ออก​ไป​จากเจ้า,fivefish.org/T6760,fivefish.org/T6760-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/6760.zip,5fi.sh/T6760,EXO,Exodus 23:25,Exodus,23,25,"""Worship the LORD your God, and His blessing will be on your food and water. I will take away sickness from among you.""",6760,,"Exodus 23:25 ""Worship the LORD your God, and His blessing will be on your food and water. I will take away sickness from among you.""",อพยพ 23:25,อพยพ,23,25,ถ้า​พวกเจ้า​รับใช้​พระยาห์เวห์​พระเจ้า​ของเจ้า พระองค์​จะ​อวยพร​อาหาร​และ​น้ำ​ของเจ้า และ​เรา​จะ​เอา​เชื้อโรค​ออก​ไป​จากเจ้า,,อพยพ 23:25 ถ้า​พวกเจ้า​รับใช้​พระยาห์เวห์​พระเจ้า​ของเจ้า พระองค์​จะ​อวยพร​อาหาร​และ​น้ำ​ของเจ้า และ​เรา​จะ​เอา​เชื้อโรค​ออก​ไป​จากเจ้า,,Akha,1
6761,AHK,529,Akha,อาข่า,Words of Life 2,พระคำแห่งชีวิต 2,Leviticus 19:11 Do not steal. Do not lie. Do not deceive on another.,เลวีนิติ 19:11 เจ้า​ต้อง​ไม่​ขโมย ไม่​โกง​หรือ​โกหก​ซึ่งกัน​และกัน,fivefish.org/T6761,fivefish.org/T6761-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/6761.zip,5fi.sh/T6761,LEV,Leviticus 19:11,Leviticus,19,11,Do not steal. Do not lie. Do not deceive on another.,6761,,Leviticus 19:11 Do not steal. Do not lie. Do not deceive on another.,เลวีนิติ 19:11,เลวีนิติ,19,11,เจ้า​ต้อง​ไม่​ขโมย ไม่​โกง​หรือ​โกหก​ซึ่งกัน​และกัน,,เลวีนิติ 19:11 เจ้า​ต้อง​ไม่​ขโมย ไม่​โกง​หรือ​โกหก​ซึ่งกัน​และกัน,,Akha,2
74874,AHK,3127,Akha Thailand,อาข่า ประเทศไทย,Good News,ข่าวประเสริฐ,"Numbers 23:19 God is not a man, that He should lie, nor a son of man, that He should change His mind. Does He speak and then not act? Does He promise and not fulfill?",กันดารวิถี 23:19 พระเจ้า​ไม่​ใช่​มนุษย์​ที่​พูด​โกหก และ​ก็​ไม่​ใช่​มนุษย์​ที่​ชอบ​เปลี่ยนใจ มี​หรือ​ที่​พระองค์​พูด​แล้ว​ไม่​ทำ หรือ​สัญญา​แล้ว​ไม่​ทำ​ตาม​สัญญานั้น,fivefish.org/T74874,fivefish.org/T74874-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/74874.zip,5fi.sh/T74874,NUM,Numbers 23:19,Numbers,23,19,"God is not a man, that He should lie, nor a son of man, that He should change His mind. Does He speak and then not act? Does He promise and not fulfill?",74874,,"Numbers 23:19 God is not a man, that He should lie, nor a son of man, that He should change His mind. Does He speak and then not act? Does He promise and not fulfill?",กันดารวิถี 23:19,กันดารวิถี,23,19,พระเจ้า​ไม่​ใช่​มนุษย์​ที่​พูด​โกหก และ​ก็​ไม่​ใช่​มนุษย์​ที่​ชอบ​เปลี่ยนใจ มี​หรือ​ที่​พระองค์​พูด​แล้ว​ไม่​ทำ หรือ​สัญญา​แล้ว​ไม่​ทำ​ตาม​สัญญานั้น,,กันดารวิถี 23:19 พระเจ้า​ไม่​ใช่​มนุษย์​ที่​พูด​โกหก และ​ก็​ไม่​ใช่​มนุษย์​ที่​ชอบ​เปลี่ยนใจ มี​หรือ​ที่​พระองค์​พูด​แล้ว​ไม่​ทำ หรือ​สัญญา​แล้ว​ไม่​ทำ​ตาม​สัญญานั้น,,Akha Thailand,1
6850,AHK,3127,Akha Thailand,อาข่า ประเทศไทย,Words of Life,พระคำแห่งชีวิต,"Deuteronomy 31:6 Be strong and courageous. Do not be afraid or terrified because of them, for the LORD your God goes with you; He will never leave you nor forsake you.""",เฉลยธรรมบัญญัติ 31:6 ให้​เข้มแข็ง​และ​กล้าหาญ​ไว้ ไม่​ต้อง​กลัว​หรือ​ตื่นตกใจ​เพราะ​พวกนั้น เพราะ​พระยาห์เวห์​พระเจ้า​ของ​ท่าน​คือ​ผู้ที่​จะ​ไป​กับ​ท่าน พระองค์​จะ​ไม่​ละ​ท่าน​ไป​หรือ​ทอดทิ้ง​ท่าน​หรอก”,fivefish.org/T6850,fivefish.org/T6850-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/6850.zip,5fi.sh/T6850,DEU,Deuteronomy 31:6,Deuteronomy,31,6,"Be strong and courageous. Do not be afraid or terrified because of them, for the LORD your God goes with you; He will never leave you nor forsake you.""",6850,,"Deuteronomy 31:6 Be strong and courageous. Do not be afraid or terrified because of them, for the LORD your God goes with you; He will never leave you nor forsake you.""",เฉลยธรรมบัญญัติ 31:6,เฉลยธรรมบัญญัติ,31,6,ให้​เข้มแข็ง​และ​กล้าหาญ​ไว้ ไม่​ต้อง​กลัว​หรือ​ตื่นตกใจ​เพราะ​พวกนั้น เพราะ​พระยาห์เวห์​พระเจ้า​ของ​ท่าน​คือ​ผู้ที่​จะ​ไป​กับ​ท่าน พระองค์​จะ​ไม่​ละ​ท่าน​ไป​หรือ​ทอดทิ้ง​ท่าน​หรอก”,,เฉลยธรรมบัญญัติ 31:6 ให้​เข้มแข็ง​และ​กล้าหาญ​ไว้ ไม่​ต้อง​กลัว​หรือ​ตื่นตกใจ​เพราะ​พวกนั้น เพราะ​พระยาห์เวห์​พระเจ้า​ของ​ท่าน​คือ​ผู้ที่​จะ​ไป​กับ​ท่าน พระองค์​จะ​ไม่​ละ​ท่าน​ไป​หรือ​ทอดทิ้ง​ท่าน​หรอก”,,Akha Thailand,2
62691,CTG,3259,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,LLL 1 Beginning with GOD,LLL 1 เริ่มต้นกับพระเจ้า,Deuteronomy 6:16 Do not put the LORD your God to the test as you did at Massah.,เฉลยธรรมบัญญัติ 6:16 พวกท่าน​ต้อง​ไม่​ลองดี​กับ​พระยาห์เวห์​พระเจ้า​ของ​ท่าน เหมือน​กับ​ที่​พวกท่าน​เคย​ลองดี​กับ​พระองค์​มา​แล้ว​ที่​มัสสาห์,fivefish.org/T62691,fivefish.org/T62691-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62691.zip,5fi.sh/T62691,DEU,Deuteronomy 6:16,Deuteronomy,6,16,Do not put the LORD your God to the test as you did at Massah.,62691,,Deuteronomy 6:16 Do not put the LORD your God to the test as you did at Massah.,เฉลยธรรมบัญญัติ 6:16,เฉลยธรรมบัญญัติ,6,16,พวกท่าน​ต้อง​ไม่​ลองดี​กับ​พระยาห์เวห์​พระเจ้า​ของ​ท่าน เหมือน​กับ​ที่​พวกท่าน​เคย​ลองดี​กับ​พระองค์​มา​แล้ว​ที่​มัสสาห์,,เฉลยธรรมบัญญัติ 6:16 พวกท่าน​ต้อง​ไม่​ลองดี​กับ​พระยาห์เวห์​พระเจ้า​ของ​ท่าน เหมือน​กับ​ที่​พวกท่าน​เคย​ลองดี​กับ​พระองค์​มา​แล้ว​ที่​มัสสาห์,,Bangla Chittagonian,1
75171,CTG,3259,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,LLL 2 Mighty Men of GOD,LLL 2 ผู้ได้รับอำนาจจากพระเจ้า,Deuteronomy 6:5 Love the LORD your God with all your heart and with all your soul and with all your strength.,เฉลยธรรมบัญญัติ 6:5 ท่าน​ต้อง​รัก​พระยาห์เวห์​พระเจ้า​ของ​ท่าน ด้วย​การ​ทุ่ม​สุดใจ สุด​ชีวิต และ​สุด​ตัว ของ​ท่าน​ให้​กับ​พระองค์,fivefish.org/T75171,fivefish.org/T75171-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/75171.zip,5fi.sh/T75171,DEU,Deuteronomy 6:5,Deuteronomy,6,5,Love the LORD your God with all your heart and with all your soul and with all your strength.,75171,,Deuteronomy 6:5 Love the LORD your God with all your heart and with all your soul and with all your strength.,เฉลยธรรมบัญญัติ 6:5,เฉลยธรรมบัญญัติ,6,5,ท่าน​ต้อง​รัก​พระยาห์เวห์​พระเจ้า​ของ​ท่าน ด้วย​การ​ทุ่ม​สุดใจ สุด​ชีวิต และ​สุด​ตัว ของ​ท่าน​ให้​กับ​พระองค์,,เฉลยธรรมบัญญัติ 6:5 ท่าน​ต้อง​รัก​พระยาห์เวห์​พระเจ้า​ของ​ท่าน ด้วย​การ​ทุ่ม​สุดใจ สุด​ชีวิต และ​สุด​ตัว ของ​ท่าน​ให้​กับ​พระองค์,,Bangla Chittagonian,2
62692,CTG,3259,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,LLL 3 Victory through GOD,LLL 3 ชัยชนะโดยพระเจ้า,"Deuteronomy 8:3 He humbled you, causing you to hunger and then feeding you with manna, which neither you nor your ancestors had known, to teach you that man does not live on bread alone but on every word that comes from the mouth of the LORD.",เฉลยธรรมบัญญัติ 8:3 พระยาห์เวห์​ทำ​ให้​ท่าน​ต้อง​ทนทุกข์​จาก​ความหิว​แล้ว​พระองค์​ก็​เลี้ยง​พวกท่าน​ด้วย​มานา ที่​ทั้ง​ท่าน​และ​บรรพบุรุษ​ของ​ท่าน​ไม่​เคย​รู้จัก​มา​ก่อน เพื่อ​ที่​พระองค์​จะ​ได้​สอน​ท่าน​ว่า คน​เรา​ไม่​ได้​มี​ชีวิต​อยู่​ด้วย​อาหาร​เพียง​อย่าง​เดียว แต่​คน​เรา​จะ​มี​ชีวิต​อยู่​ได้​ด้วย​ทุกๆ​คำพูด​ที่​ออก​มา​จาก​ปาก​ของ​พระยาห์เวห์,fivefish.org/T62692,fivefish.org/T62692-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62692.zip,5fi.sh/T62692,DEU,Deuteronomy 8:3,Deuteronomy,8,3,"He humbled you, causing you to hunger and then feeding you with manna, which neither you nor your ancestors had known, to teach you that man does not live on bread alone but on every word that comes from the mouth of the LORD.",62692,,"Deuteronomy 8:3 He humbled you, causing you to hunger and then feeding you with manna, which neither you nor your ancestors had known, to teach you that man does not live on bread alone but on every word that comes from the mouth of the LORD.",เฉลยธรรมบัญญัติ 8:3,เฉลยธรรมบัญญัติ,8,3,พระยาห์เวห์​ทำ​ให้​ท่าน​ต้อง​ทนทุกข์​จาก​ความหิว​แล้ว​พระองค์​ก็​เลี้ยง​พวกท่าน​ด้วย​มานา ที่​ทั้ง​ท่าน​และ​บรรพบุรุษ​ของ​ท่าน​ไม่​เคย​รู้จัก​มา​ก่อน เพื่อ​ที่​พระองค์​จะ​ได้​สอน​ท่าน​ว่า คน​เรา​ไม่​ได้​มี​ชีวิต​อยู่​ด้วย​อาหาร​เพียง​อย่าง​เดียว แต่​คน​เรา​จะ​มี​ชีวิต​อยู่​ได้​ด้วย​ทุกๆ​คำพูด​ที่​ออก​มา​จาก​ปาก​ของ​พระยาห์เวห์,,เฉลยธรรมบัญญัติ 8:3 พระยาห์เวห์​ทำ​ให้​ท่าน​ต้อง​ทนทุกข์​จาก​ความหิว​แล้ว​พระองค์​ก็​เลี้ยง​พวกท่าน​ด้วย​มานา ที่​ทั้ง​ท่าน​และ​บรรพบุรุษ​ของ​ท่าน​ไม่​เคย​รู้จัก​มา​ก่อน เพื่อ​ที่​พระองค์​จะ​ได้​สอน​ท่าน​ว่า คน​เรา​ไม่​ได้​มี​ชีวิต​อยู่​ด้วย​อาหาร​เพียง​อย่าง​เดียว แต่​คน​เรา​จะ​มี​ชีวิต​อยู่​ได้​ด้วย​ทุกๆ​คำพูด​ที่​ออก​มา​จาก​ปาก​ของ​พระยาห์เวห์,,Bangla Chittagonian,3
62695,CTG,3259,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,LLL 4 Servants of GOD,LLL 4 ผู้รับใช้ของพระเจ้า,"Joshua 1:8 Do not let this Book of the Law depart from your mouth; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful.",โยชูวา 1:8 เจ้า​ต้อง​ไม่หยุด​พูด​ถึง​กฎ​ใน​หนังสือ​เล่มนี้ และ​เจ้า​ต้อง​ไตร่ตรอง​มัน​ทั้งวัน​ทั้งคืน เพื่อ​เจ้า​จะได้​ทำ​ตาม​สิ่ง​ที่​ได้​เขียน​ไว้​ใน​กฎ​นั้น​อย่าง​เคร่งครัด แล้ว​เจ้า​จะได้​เจริญ​รุ่งเรือง​และ​ประสบ​ความ​สำเร็จ,fivefish.org/T62695,fivefish.org/T62695-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62695.zip,5fi.sh/T62695,JOS,Joshua 1:8,Joshua,1,8,"Do not let this Book of the Law depart from your mouth; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful.",62695,,"Joshua 1:8 Do not let this Book of the Law depart from your mouth; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful.",โยชูวา 1:8,โยชูวา,1,8,เจ้า​ต้อง​ไม่หยุด​พูด​ถึง​กฎ​ใน​หนังสือ​เล่มนี้ และ​เจ้า​ต้อง​ไตร่ตรอง​มัน​ทั้งวัน​ทั้งคืน เพื่อ​เจ้า​จะได้​ทำ​ตาม​สิ่ง​ที่​ได้​เขียน​ไว้​ใน​กฎ​นั้น​อย่าง​เคร่งครัด แล้ว​เจ้า​จะได้​เจริญ​รุ่งเรือง​และ​ประสบ​ความ​สำเร็จ,,โยชูวา 1:8 เจ้า​ต้อง​ไม่หยุด​พูด​ถึง​กฎ​ใน​หนังสือ​เล่มนี้ และ​เจ้า​ต้อง​ไตร่ตรอง​มัน​ทั้งวัน​ทั้งคืน เพื่อ​เจ้า​จะได้​ทำ​ตาม​สิ่ง​ที่​ได้​เขียน​ไว้​ใน​กฎ​นั้น​อย่าง​เคร่งครัด แล้ว​เจ้า​จะได้​เจริญ​รุ่งเรือง​และ​ประสบ​ความ​สำเร็จ,,Bangla Chittagonian,4
62710,CTG,3259,Bangla Chittagonian,บังกลา ชิตตาโกเนียน,LLL 5 On Trial for GOD,LLL 5 การทดสอบเพื่อพระเจ้า,"Joshua 1:9 Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the LORD your God will be with you wherever you go.""",โยชูวา 1:9 อย่าลืม​ว่า​เรา​ได้​สั่ง​เจ้า​ให้​เข้มแข็ง​และ​กล้าหาญ​ไว้ อย่า​ได้​หวาดกลัว​หรือ​ท้อถอย เพราะ​เรา ยาห์เวห์ พระเจ้า​ของเจ้า จะ​อยู่​กับเจ้า​ใน​ทุกที่​ที่​เจ้าไป”,fivefish.org/T62710,fivefish.org/T62710-001.mp3,https://files.globalrecordings.net/files/set/mp3-low/62710.zip,5fi.sh/T62710,JOS,Joshua 1:9,Joshua,1,9,"Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the LORD your God will be with you wherever you go.""",62710,,"Joshua 1:9 Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the LORD your God will be with you wherever you go.""",โยชูวา 1:9,โยชูวา,1,9,อย่าลืม​ว่า​เรา​ได้​สั่ง​เจ้า​ให้​เข้มแข็ง​และ​กล้าหาญ​ไว้ อย่า​ได้​หวาดกลัว​หรือ​ท้อถอย เพราะ​เรา ยาห์เวห์ พระเจ้า​ของเจ้า จะ​อยู่​กับเจ้า​ใน​ทุกที่​ที่​เจ้าไป”,,โยชูวา 1:9 อย่าลืม​ว่า​เรา​ได้​สั่ง​เจ้า​ให้​เข้มแข็ง​และ​กล้าหาญ​ไว้ อย่า​ได้​หวาดกลัว​หรือ​ท้อถอย เพราะ​เรา ยาห์เวห์ พระเจ้า​ของเจ้า จะ​อยู่​กับเจ้า​ใน​ทุกที่​ที่​เจ้าไป”,,Bangla Chittagonian,5
